,index,인원,수료,미수료,수료율
20,청렴공무원 행동강령,1021,941,40,0.9592252803261978
17,[Mobile겸용] 이순신장군의 청렴리더십,1157,1060,64,0.9430604982206405
2,[Mobile겸용]청탁금지법의 이해,3128,2899,185,0.9400129701686122
29,"다시 생각하는 공직, 그리고 공직가치",416,379,27,0.9334975369458128
34,알기 쉬운 공직윤리,104,92,7,0.9292929292929293
15,[Mobile겸용] 역사 속에서 찾은 청렴이야기,1214,1080,83,0.9286328460877042
13,[Mobile겸용]역사속에서 찾은 청렴이야기,1416,1268,98,0.9282576866764275
24,[Mobile겸용] 부패상황 자각하기,752,676,54,0.9260273972602739
31,[Mobile겸용]사례로 배우는 부패영향평가,302,269,22,0.9243986254295533
19,[Mobile겸용] 공직자를 위한 신목민심서,1063,916,77,0.9224572004028198
11,[Mobile겸용]이순신장군의 청렴리더십,1578,1395,136,0.9111691704768126
21,[Mobile겸용]사례로 배우는 청탁금지법,961,827,81,0.9107929515418502
26,[Mobile겸용] 청탁금지법의 이해,680,580,60,0.90625
18,[Mobile겸용]공직자를 위한 신목민심서,1114,974,106,0.9018518518518519
32,[Mobile겸용] 역사에서 배우는 공직자의 길,191,170,19,0.8994708994708994
28,부패상황 자각하기,445,377,46,0.8912529550827423
25,[Mobile겸용]부패앞에 단호해 지기,722,619,78,0.8880918220946915
12,[Mobile겸용] 청렴판단력키우기,1463,1245,164,0.8836053938963804
33,공직자를 위한 나라사랑 길잡이,146,121,18,0.8705035971223022
14,사례로 배우는 청탁금지법,1380,1135,175,0.8664122137404581
4,청탁금지법의 이해,2540,2028,353,0.8517429651406971
6,[Mobile겸용]반부패 청렴정책의 이해,2252,1835,326,0.8491439148542341
30,[Mobile겸용] 헌법정신에 기반한 공직윤리와 가치,356,275,50,0.8461538461538461
1,사이버 청렴교육,7355,5766,1073,0.8431057172101184
5,성공조건으로서의 청렴,2397,1912,356,0.8430335097001763
8,이순신장군의 청렴 리더십,1990,1547,292,0.8412180532898315
23,[Mobile겸용]알기쉬운 공직자 행동강령,810,647,124,0.8391699092088197
27,부패앞에 단호해 지기,473,353,68,0.838479809976247
9,성공조건으로의 청렴,1886,1501,290,0.8380792853154663
16,청탁금지법(지방공무원 사례중심),1186,912,186,0.8306010928961749
7,역사속에서 찾은 청렴 이야기,2229,1677,346,0.828966880869995
22,사례로 배우는 부패영향평가,913,653,159,0.8041871921182266
0,반부패 청렴정책의 이해,7438,5560,1380,0.8011527377521613
3,알기 쉬운 공직자 행동강령,2743,1957,515,0.7916666666666666
10,역사에서 배우는 공직자의 길,1625,1143,315,0.7839506172839507
