,index,인원,수료,미수료,수료율,대분류,중분류,소분류
539,(MOOC) 협동조합의 이해와 필요성_스쿨링에서 협동조합 기본법까지,1,1,0,1.0,행정안전부,직무공통,정책
513,(마이크로러닝)(비즈니스 스킬 UP) 핵심 콕!콕! Biz E-mail,2,2,0,1.0,행정안전부,직무공통,정책
509,(행안부 대상) 폭력예방교육(일반),3,3,0,1.0,행정안전부,직무공통,정책
508,[Mobile 겸용]Redline China (Gov-MOOC),3,3,0,1.0,행정안전부,직무공통,소양
505,장려세제 실무역량강화,3,2,0,1.0,행정안전부,직무공통,정책
504,(집합연계) 감성을 통한 정책소통 교육,3,1,0,1.0,행정안전부,직무공통,정책
503,[Mobile 겸용]2021 한국 경제 전망 (Gov-MOOC),3,3,0,1.0,행정안전부,직무공통,정책
499,(마이크로러닝)1분 안에 말하는 신기한 한톡 일본어 기초회화1,3,2,0,1.0,행정안전부,직무공통,정책
493,(행안부 대상) 이순신장군의 청렴리더십,4,4,0,1.0,행정안전부,청렴,청렴
491,[Mobile 겸용]번역가의 서재 (Gov-MOOC),4,4,0,1.0,행정안전부,직무공통,정책
486,데이터기반행정 책임관의 직무 이해,5,5,0,1.0,행정안전부,직무공통,정책
480,국제조세,5,5,0,1.0,행정안전부,직무공통,정책
478,성공적 정책개발의 이해와 방안_사례편,6,4,0,1.0,행정안전부,직무공통,정책
473,[e-호조] 채권관리,6,4,0,1.0,행정안전부,직무공통,소양
472,(집합연계) 정부혁신 실천 워크숍,6,6,0,1.0,행정안전부,직무공통,정책
469,(집합연계)5급승진리더과정(자원봉사의 이해와 실천),7,7,0,1.0,행정안전부,직무공통,정책
468,(집합연계) 여성리더과정 역량교육,7,7,0,1.0,행정안전부,직무공통,정책
465,"정책, 원하고 원망하는 당신에게",7,7,0,1.0,행정안전부,직무공통,정책
463,"[Mobile 겸용]건축, 공간, 그리고 안도북스 (Gov-MOOC)",7,7,0,1.0,행정안전부,직무공통,정책
439,(집합연계) 여성리더과정(역량교육),11,6,0,1.0,행정안전부,직무공통,소양
433,(집합연계) 지역공동체 활성화 포럼,13,13,0,1.0,행정안전부,직무공통,정책
429,성공적 정책개발의 이해와 방안_기법론,13,10,0,1.0,행정안전부,직무공통,소양
410,"재난안전통신망의 이해, 단말기 및 지령장치 사용방법",16,16,0,1.0,행정안전부,직무공통,정책
409,한국판뉴딜(고용안전망),16,15,0,1.0,행정안전부,직무공통,정책
363,(집합연계) 면접관 양성과정,26,8,0,1.0,행정안전부,직무공통,소양
257,(집합연계)과장급 후보자 역량교육,69,68,0,1.0,행정안전부,직무공통,소양
200,지방자치인재개발원_마이크로러닝,129,129,0,1.0,행정안전부,직무공통,정책
512,(행안부 대상) 정보보안교육 - 컴퓨터 네트워크 및 보안,2,2,0,1.0,행정안전부,직무공통,정책
496,(MOOC) 창의적인 사람은 태어나면서부터 정해진걸까?,4,4,0,1.0,행정안전부,직무공통,정책
514,(집합연계) 역량교육 퍼실리테이션 양성과정,2,2,0,1.0,행정안전부,직무공통,정책
536,(행안부 대상) 적극행정 법제 가이드라인 2.0,1,1,0,1.0,행정안전부,직무공통,정책
530,"(MOOC) 협동조합의 이해와 필요성_협동의 재발견, 로버트 오언",1,1,0,1.0,행정안전부,직무공통,소양
533,(행안부 대상) 헌법정신에 기반한 공직윤리와 가치,1,1,0,1.0,행정안전부,정보화,정보화
534,"(마이크로러닝)4차산업혁명, 미래를 읽다",1,1,0,1.0,행정안전부,직무공통,정책
529,국세기본법1,1,1,0,1.0,행정안전부,외국어,외국어
528,국세기본법2,1,1,0,1.0,행정안전부,직무공통,정책
527,(집합연계) 4차 산업혁명과 지자체 대응역량 강화,1,1,0,1.0,행정안전부,직무공통,소양
526,도로민간투자사업 행정실무,1,1,0,1.0,행정안전부,직무공통,인권
525,"(행안부 대상) 세상을 바꾸는 힘, 공익신고",1,1,0,1.0,행정안전부,정보화,정보화
535,(마이크로러닝)디지털헬스케어,1,1,0,1.0,행정안전부,직무공통,정책
524,(집합연계) 사회적경제 활성화,2,2,0,1.0,행정안전부,직무공통,소양
531,(집합연계) 빅데이터의 이해와 개인정보보호,1,1,0,1.0,행정안전부,직무공통,정책
537,[Mobile 겸용]사회란 무엇인가 (Gov-MOOC),1,1,0,1.0,행정안전부,정보화,정보화
538,"(집합연계) 창의·혁신의 재발견과정(4차산업혁명, 미래를 읽다)",1,1,0,1.0,행정안전부,직무공통,정책
521,(마이크로러닝)유경희의 힐링 미술관,2,2,0,1.0,행정안전부,직무공통,정책
520,테스트_[모바일겸용]공직자 사회공헌활동(나라콘텐츠),2,1,0,1.0,행정안전부,직무공통,소양
518,(행안부 대상) 역사속에서 찾은 청렴이야기,2,1,0,1.0,행정안전부,직무공통,정책
516,(집합연계) 빅데이터의 이해와 개인정보 보호,2,2,0,1.0,행정안전부,외국어,외국어
532,(집합연계) 창의·혁신의 재발견과정(열정에 기름붓기),1,1,0,1.0,행정안전부,직무공통,정책
38,(집합연계) 5급 승진리더과정(역량교육의 이해),1642,1463,4,0.9972733469665985,행정안전부,직무공통,소양
153,생명의 릴레이,221,206,8,0.9626168224299065,행정안전부,직무공통,정책
198,한국판뉴딜(그린뉴딜),134,127,5,0.9621212121212122,행정안전부,직무공통,정책
122,(집합연계) 5급승진리더과정(청탁금지법),325,298,13,0.9581993569131833,행정안전부,직무공통,안보
56,디지털윤리,988,936,42,0.9570552147239264,행정안전부,직무공통,소양
108,정보공개제도 교육,406,381,19,0.9525,행정안전부,직무공통,정책
